Transcript ID,Final Cluster
509907,0
509921,1
509969,1
509997,0
510196,0
510275,1
510401,0
510410,0
510422,0
510457,0
510500,0
510688,0
510734,1
510849,0
510881,0
510910,0
510918,0
510999,1
511250,0
511447,1
511512,0
511665,0
511862,0
512508,1
513033,0
513058,0
513210,1
513324,0
513762,0
513935,1
513969,0
514007,0
514232,1
514819,0
514928,1
515151,0
515233,1
515289,0
515762,0
515843,1
516135,1
516417,0
516517,0
1001335,1
1001444,0
1001636,0
1001877,0
1001918,1
1002013,1
1002242,0
1002281,1
1002422,0
1002648,0
1002655,1
1003016,0
1003158,0
2001299,1
2001521,0
2001541,0
2002040,0
2004828,1
2005036,1
2005133,0
2008165,0
2016938,1
