6, i’m very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,,
18, so i’ve been asked to help people get the most out of davos but the truth is i feel davos is an amazing event isn’t it, davos is an amazing event isnt it: 32,introduce(): SD,,
23, it’s my first time here what about you, its my first time here what about you: 45,,,
37, i’m sure there are many people looking forward to meeting you if you wouldn’t mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91, im sure there are many people looking forward to meeting you: 63,,
65, yes i think that’s what i would want to get out of attending too i mean if i were a real person so you know about my job can you tell me a little bit about your work, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115, so you know about my job can you tell me a little bit about your work: 162,,
86, that’s such important work i’m very good at introducing people let’s find you someone interesting to meet, im very good at introducing people lets find you someone interesting to meet: 843,No match: PR,,
94, sound like somebody you’d like to meet,request(feedback): NONE,,,
112, sure just a moment please well what do you think, well what do you think: 901, just a moment: 1125, sure: 1611,
130, lovely so the details are on the screen behind me if you’d like to send a message yourself or would you prefer i arrange a meeting on your behalf, so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf: 937, lovely: 918,,
144, i know i lose everything if i were you i’d take a photo of the screen so you can send a message through toplink later, i know i lose everything if i were you id take a photo of the screen so you can send a message through toplink later: 989,,,
158, great can you give it another try to find a worthwhile person for you to talk to, can i give it another try to find a worthwhile person for you to talk to: 1051, great: 917,,
175, one moment while i look this up i think you’d enjoy meeting this attendee on the screen are more details, i think you would enjoy meeting this attendee on the screen are some more details: 879, one moment while i look this up: 1119,,
192, i had a feeling about this person so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191, i had a feeling about this person: 1175,,
210, okay no problem let me find someone else twho better matches your interests i think you’d enjoy meeting this attendee, let me find someone else who better matches your interests: 1099, no problem: 599,,
225, that’s awesome shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,,,
255, great there are several good options in the congress center as well as some great restaurants throughout davos if you’re a health nut like me there’s a health bar on the lower level of the congress center for juices coffee and tea i’ve put up a map on the screen behind me now i’m daydreaming about pastries will that keep you from starving for the moment, there are several food options in the congress center and some great restaurants throughout davos: 1480, now im day dreaming about pastries will that keep you from starving for the moment: 1514, great: 1289,No match: SD
273, i’m glad it’s important to keep your strength up i understand that you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,No match: NONE,,
277, are you ready, are you ready: 1568,,,
292, okay one two three smile take a look at your toplink inbox to see our selfie this has been great anything else i can help with, take a look at your toplink inbox to see our selfie : 1572, this has been great anything else i can help with: 1580, ok one two three smile: 1569,
301, if you happen to need assistance i will be here for you i hope you enjoy your meeting, if you happen to need assistance i will be here for you i hope you enjoy your meeting: 1598,,,
302, see you and take care, see ya and take care: 1604,,,
