6, hi im so glad youre here i’m sara whats your name, hi im so glad youre here im sara whats your name: 2,,
13, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,
33, truthfully im a bit tired even robots get jet lag so im here in davos to be your personal assistant and help you to get the most out of the worth experience this is my first time at davos is it yours as well, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21, truthfully im a bit tired even robots get jet lag : 1669, this is my first time at davos is it yours as well: 44
39, i find it a little bit overwhelming i imagine that you are too, im finding it a bit overwhelming i imagine that you are too: 55,,
46, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,
64, i think you and i have a lot in common so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162, i think you and i have a lot in common: 116,
81, you fit right in shall we move onto finding some people for you to meet who are as interesting as you, you fit right in: 168,,
97, im very good at introducing people lets find you someone interesting to meet don’t go anywhere just yet let me have a look well what do you think, im very good at introducing people lets find you someone interesting to meet: 843, dont go anywhere just yet let me have a look: 859, well what do you think: 901
106, just a moment please, just a moment please: 1615,,
118, yes well what do you think, well what do you think: 901, yes: 1612,
132, so the details are on the screen behind me if youd like to send the message yourself or would you prefer i arrange a meeting on your behalf, so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf: 937,,
151, i know i lose everything if i were you id take a photo of the screen so you can send a message through toplink later shall i find some other people who match your interests, i know i lose everything if i were you id take a photo of the screen so you can send a message through toplink later: 989, shall i find some other people who match your interests: 1035,
164, i think youd enjoy meeting this attendee on the screen are more details, i think you would enjoy meeting this attendee on the screen are some more details: 879,,
174, okay no problem, no problem: 599,,
191, i would love to go to some of these sessions how about we find one that’s relevant to your interests, i would love to go to some of these sessions how about we find one thats relevant to your interests: 242,,
209, wait just a second while i look one up my search capabilities are a little slow you may find this session interesting ive put the description of the session on the screen behind me, you may find this session interesting ive put the description of the session on the screen behind me: 273, wait just a second while i look one up my search capabilities are a little slow: 257,
219, sorry about that, sorry about that: 585,,
224, it has not,other(): NONE,,
249, sure just a moment please is that helpful at all for you, is that helpful at all for you: 289, just a moment: 1125, sure: 1611
271, thanks that makes me feel like ive done a good job in fact i can send a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, thanks that makes me feel like im doing a good job: 308,request(send_msg_tlink): NONE,
283, okay look for a message from me in your toplink private message inbox shall we move onto finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236, ok look for a message from me in your toplink private message inbox: 341,
308, there are several food options in the conference center and some great restaurants throughout davos if you’re a health nut like me there is a health bar on the lower level of the congress center produces coffee and tea ive put a map on the screen behind me i bet those pastries will be amazing are you okay for now, there are several food options in the congress center and some great restaurants throughout davos: 1480,outcome_food_recommendation: SD,
324, i am glad its important to keep your strength up i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722, im glad its important to keep your strength up: 1525,
328, are you ready, are you ready: 1568,,
344, okay one two three smile this is so millennial of us thank you i will send this to your toplink account okay, this is so millenial of us thank you i will send this to your toplink account: 1571, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569
349, okay this have been fun is there anything else i can help you with, okay this has been fun is there anything else i can help you with: 1579,,
361, well feel free to come backin the meantime enjoy the meeting and it was nice working with you bye, well feel free to come back in the meantime enjoy the meeting and it was nice working with you: 1592, bye: 1605,
