4, hi i am so glad you are here i am sara what’s your name,greeting: SD,,,,,,,,,,,,,
13, i’m very excited to speak with the davos participants how are you inaudible experience, im very excited to speak with the davos participants how are you: 11,,,,,,,,,,,,,
22, so i’m here at davos to be your personal assistant and help you to get the most out of the work experience so is,introduce(): NONE,,,,,,,,,,,,,
26, this your first time at davos or have you been before, is this your first time attending davos or have you been before: 48,,,,,,,,,,,,,
32, i’m sure you’ll enjoy it,feedback_attendance_elicitation_first: NONE,,,,,,,,,,,,,
37, sure sure, sure: 1611,,,,,,,,,,,,,
45, if you wouldn’t mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,,,,,,,,,,,,,
53, let’s make this as easy as possible, lets make this as easy as possible what five words best describe your interests: 1679,,,,,,,,,,,,,
57, what five words best describe your interests, lets make this as easy as possible what five words best describe your interests: 1679,,,,,,,,,,,,,
75, how fascinating, how fascinating: 177,,,,,,,,,,,,,
80, let’s find some interesting sessions for you to attend that are relevant to your interests, lets find some interesting sessions for you to attend that are relevant to your interests: 239,,,,,,,,,,,,,
96, please wait a moment while i look some up you may find this session interesting i’ve put the description of the session on the screen behind me does this look like a session you’d like to attend, does this look like a session youd like to attend: 288, please wait a moment while i look some up: 256, you may find this session interesting take a look: 470,,,,,,,,,,, you: 1667
122, i am so glad nine am please leave your message through the top link private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder in fact i can send a,request(send_msg_tlink): NONE,,,,,,,,,,,,,
154, just a moment please you may find this session interesting i’ve put the description of the session on the screen behind me what do you say session you’d like to attend, just a moment please: 1615, you may find this session interesting: 672,,,,,,,,,,,,
175, two hours,other(): NONE,,,,,,,,,,,,,
187, let’s try again is that helpful at all for you, is that helpful at all for you: 289,,,,,,,,,,,,,
199, sorry about that, sorry about that: 585,,,,,,,,,,,,,
202, would you like to quit,other(): NONE,,,,,,,,,,,,,
214, well keep it on the down low however i did hear that there’s a inaudible house reception starting at seven pm today at the inaudible at promenade, well keep it on the down low however i did hear that theres a russia house reception starting at seven pm today at the iris wazzau galery at seventytwo promenade: 1717,,,,,,,,,,,,,
225, i understand you are busy so i can let you go if you want but before i do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,,,,,,,,,,,,,
227, are you ready, are you ready: 1568,,,,,,,,,,,,,
253, okay one two three smile cool thank you i will send this to your inaudible account, cool thank you i will send this to your toplink account: 1570,,,,,,,,,,,,,
259, okay this has been fun is there anything else i can help you with, okay this has been fun is there anything else i can help you with: 1579,,,,,,,,,,,,,
262, same and take care bye, bye: 1605,,,,,,,,,,,,,
