3, they call me sara what is your name, they call me sara whats your name: 3,,,,
9, to be honest i am a little overwhelmed, to be honest im a little overwhelmed : 1668,,,,
14, this is my first time at davos is it yours as well, this is my first time at davos is it yours as well: 44,,,,
24, you just need to practice your frazzled look then you’ll fit right in, you just need to practice your frazzled look then youll fit right in: 58, you fit right in: 168,,,
38, i’ve been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests all you need to do is tell me a little bit about yourself and what you want to do while here, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,request(interest): NONE,,,
61, brilliant that is a lot of responsibility i admire your discipline, that is a lot of responsibility i admire your discipline: 233, brilliant: 505,,,
71, let’s start by finding some interesting people for you to meet that are relevant to your interests, lets start by finding some interesting people for you to meet that are relevant to your interests: 841,,,,
73, sound good, sound good: 1674,,,,
84, okay let’s do this i’m still new at this though so let me know if i got it wrong i think you’d enjoy meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,,,,
88, sorry about that, sorry about that: 585,,,,
97, oh dear i’m starting to get loopy that’s how i know it’s almost time for a nap but let’s keep that between you and me, oh dear im starting to get loopy thats how i know its almost time for a nap but lets keep that between you and me: 1658,,,,
105, let me look for people, let me look just a second: 649,,,,
113, this is my specialty give me just a minute to check, this is my specialty give me just a minute to check: 864,,,,
123, i think you’d enjoy meeting this attendee on the screen are some more details, i think you would enjoy meeting this attendee on the screen are some more details: 879,,,,
130, well what do you think, well what do you think: 901,,,,
142, great, great: 917,,,,
152, so the details are on the screen behind me if you’d like to send the message yourself or would you prefer i arrange a meeting on your behalf, so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf: 937,,,,
169, i inaudible everything if i were you i would take a photo of the screen so you can send a message through toplink later,request(send_msg_tlink): NONE,,,,
190, normally i’d like to sit and chat but they explicitly told me i had to focus recommendations, normally i love to sit and chat but they explicitly told me i had to focus recommendations oh well: 1640,,,,
191, oh well, oh dear: 375,,,,
204, absolutely just a moment please, just a moment please: 1615,,,,
213, i am still new at this though so let me know if i got it wrong i think you’d enjoy meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,,,,
221, i’m so curious did i make a good match, im so curious did i make a good match: 903,,,,
271, sure just a moment please let me scan my hard drive whoops i’m being drained pause filler sorry about that let’s just keep that between you and me okay thanks if you want we can take a selfie sound good, if you want we can take a selfie sound good: 1567, lets just keep that between you and me okay thanks: 1664, let me scan my hard drive whoops i mean brain: 1698, just a moment: 1125, sure: 1611
275, great, great: 917,,,,
277, are you ready, are you ready: 1568,,,,
283, okay one two three smile, ok one two three smile: 1569,,,,
290, take a look at your toplink inbox to see our selfie, take a look at your toplink inbox to see our selfie : 1572,,,,
293, until next time,farewell: SD,,,,
295, i wish you could stay longer,farewell: SD,,,,
298, see you and take care bye, see ya and take care: 1604, bye: 1605,,,
