5, hi im so glad youre here i am sara what is your name, hi im so glad youre here im sara whats your name: 2,,,,,
11, i am so glad to have the opportunity to meet you in person, im so glad to have the opportunity to meet you in person: 19,,,,,
23, im in davos to assist attendees but to be honest i’m a little anxious about it its a big deal to be invited to davos is this your first time here, im in davos to assist attendees but to be honest im a little anxious about it: 23, its a big deal to be invited to davos is this your first time here: 51,,,,
37, i find its a lot to take in i hope that it isnt overwhelming inaudible if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91, ive found its a lot to take in i hope that it isnt overwhelming you: 56,,,,
52, oh yes that makes sense so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162, oh yes that makes sense: 114,,,,
64, id love to do something like that, id love to do something like that: 169,,,,,
78, i mean you probably like to keep up with your work in your field lets find some interesting sessions to attend be patient while i take a look, i know you probably like to keep up with new work in your field lets find some interesting sessions to attend: 254, be patient while i take a look: 261,,,,
106, i know i would enjoy the session inaudible take a look at the details behind me does this look like a session you would like to attend, does this look like a session youd like to attend: 288,No match: SD,,,,
121, sorry about that, sorry about that: 585,,,,,
136, the session details are on the screen if you want to copy them down i also could send the information to your toplink inbox would you like me to send that message, the session details are on the screen if you want to copy them down i also could send the information to your toplink inbox would you like me to send that message: 338,,,,,
150, inaudible enjoy your session can i be of further help id love to find you another session to attend,request(another_reco): NONE,,,,,
160, okay no problem shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235, no problem: 599,,,,
186, i can suggest and find some interesting people you inaudible for you to meet don’t go anywhere just yet let me have a look okay i think i have somebody whom you should meet on the screen are more details well what do you think, ok i think i have somebody whom you should meet on the screen are more details: 885, i can suggest and find some interesting people who do similar work for you to meet: 840, dont go anywhere just yet let me have a look: 859, let me look just a moment: 651,,
197, oh i hope you let me make it up to you, oh i hope youll let me make it up to you: 1034,,,,,
213, just a moment please that makes me happy, that makes me happy: 922, just a moment please: 1615,,,,
219, inaudible would this person be worth your time, would a meeting with this person be worth your time: 914,,,,,
235, lets make this as easy as possible what five words best describe your interests, lets make this as easy as possible what five words best describe your interests: 1679,,,,,
251, good thing i have so much inaudible memory one second while i look this up, good thing i have so much ram memory one second while i look this up: 862, one moment while i look this up: 1119, one moment while i look this up: 1338, one second while i look: 872, good: 124, good: 931
269, heres a good one take a look at the bio on the screen, heres a good one take a look at the bio on the screen: 888,,,,,
279, sure, sure: 1611,,,,,
288, what do you think…,request(feedback): NONE,,,,,
308, sounds like somebody you like to connect with,request(feedback): NONE,,,,,
320, this guys says…,request(feedback): NONE,,,,,
348, you are tough to please let me try well what do you think, well what do you think: 901,No match: VSN,,,,
364, im sorry this is all the information i have, im sorry this is all the information i have : 1637,,,,,
377, shall we move on to finding interesting places to ease your hunger,request(send_msg_tlink): NONE,,,,,
393, okay no problem i can let you go if you want but before you do wont we need to take a quick selfie of us i understand you are busy so i can inaudible,request(selfie): NONE,,,,,
397, are you ready, are you ready: 1568,,,,,
401, yes, yes: 1612,,,,,
421, okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569,,,,
427, okay i feel ive proven my worth here anything else i can help you with, okay i feel like ive proven my worth here anything else i can help you with: 1586,,,,,
433, i had so much fun with you,farewell: SD,,,,,
438, come back and say hi again sooner if you like enjoy the conference,farewell: NONE,,,,,
442, bye, bye: 1605,,,,,
