4, i am so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,,,,
24, its so great to be surrounded by such interesting people im in davos to assess attendees but to be honest i am a little anxious about it being here sometimes feels a little intimidating its my first time here what about you, im in davos to assist attendees but to be honest im a little anxious about it: 23, its so great to be surrounded by such interesting people: 12, its my first time here what about you: 45, being here sometimes feels a little intimidating: 35,
40, im finding it a little bit overwhelming i imagine that you are too it is very satisfying to be able to help you achieve your goals so what can i help you with what are your goals in being in davos, so what can i help you with what are your goals in being at davos: 105, it is very satisfying to be able to help you achieve your goals: 94, im finding it a bit overwhelming i imagine that you are too: 55,,
99, yes i think thats what i would want to get out of attending too i mean if i were lets find some interesting people for you to meet that are relevant to your interests i am really searching hard right now to find you the best match just a moment please i think youll enjoy meeting this attendee on the screen are some more details sound like somebody youll like to meet, i think you would enjoy meeting this attendee on the screen are some more details: 879, lets find some interesting people for you to meet that are relevant to your interests: 839, im really searching hard right now to find you the best match: 863, just a moment please: 1615,No match: SD
140, i understand let me find you someone else who better matches your interests okay the suspense is killing me is this someone youll like to connect with, okay the suspense is killing me is this someone youd like to connect with: 902, let me find someone else who better matches your interests: 1099, i understand: 808,,
153, great so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf, so the details are on the screen behind me if youd like to send a message yourself or would you prefer i arrange a meeting on your behalf: 937, great: 917,,,
175, i find that things like this are so easy to for ill take a photo of the screen so you could send a message through toplink later i know i will lose everything if i were you id take a photo of the screen so you could send a message through toplink later,request(send_msg_tlink): SD,,,,
186, what is it that you do again, what is it that you do again: 163,,,,
197, id love to do something like that shall we move on to finding you some interesting sessions to attend, shall we move on to finding you some interesting sessions to attend: 237, id love to do something like that: 169,,,
223, i would love to go into some of these sessions i think we can find ones are a little slow wait just a second while i look one up my search capabilities are a little slow was that helpful at all for you, wait just a second while i look one up my search capabilities are a little slow: 257, was that helpful at all for you: 821,No match: SD,,
250, im sorry my recommendations metrics are not perfect yet youre losing out maybe next time id like to see if i can do any better may i try again, id like to see if i can do even better may i try again: 409, im sorry my recommendation metrics are not perfect yet: 377, youre missing out maybe next time: 595,,
261, okay no problem shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236, no problem: 599,,,
270, one more thing before you leave would you like me to take a selfie of us, one more thing before you leave would you like me to take a selfie of us: 1566,,,,
273, are you ready, are you ready: 1568,,,,
287, okay one two three smile cool thank you i will send this to your toplink account, cool thank you i will send this to your toplink account: 1570, ok one two three smile: 1569,,,
297, i think you should get some well deserved rest ive enjoyed helping you come back if you need anything have a good meeting, ive enjoyed helping you come back if you need anything have a good meeting: 1594, i think you should get some well deserved rest: 1577,,,
302, see you and take care, see ya and take care: 1604,,,,
