7, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,
17, so im here in davos to be your personal assistant and help you to get the most out of the wef experience, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,
22, this is my first time at davos is it yours as well, this is my first time at davos is it yours as well: 44,
31, oh youre more experienced than i am maybe you should be the one helping people, oh youre more experienced than i am maybe you should be the one helping people: 66,
38, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,
59, yes i think thats what i would want to get out of attending too i mean if i_验m a real person so you know about my job can you tell me a little bit about your work, yes i think thats what i would want to get out of attending too i mean if i were a real person: 115, so you know about my job can you tell me a little bit about your work: 162
70, so interesting lets find some interesting sessions for you to attend that are relevant to your interests, so interesting: 167, lets find some interesting sessions for you to attend that are relevant to your interests: 239
79, you may find this session interesting i_验ve put the description of the session on the screen behind me, you may find this session interesting: 672,
99, im so glad in fact i can send you a message to the toplink private message app to remind of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, im so glad: 305,
105, all right im sending it right now so that you can access in toplink, alright im sending it right now so you can access it in toplink: 344,
109, so shall we find another session for you to attend, so shall we find another session for you to attend: 405,
121, this one really caught my eye the descriptions of financial inaudible era of digital economy is on my screen,inform(info): SD,
127, will you enjoy this session, would you enjoy this session: 494,
138, let me find another session that better matches your interests, let me find another session that better matches your interests: 422,
144, you may find this session interesting, you may find this session interesting: 672,
155, im so glad would you like me to send the details for this session to you, im so glad: 305, would you like me to send the details for this session to you : 733
166, good the message with details of the session is on its way to your inbox shall we move on to finding some people for you to meet who as interesting as you, good the message with details of the session is on its way to your inbox: 750,
175, good thing i have so much inaudible memory one second while i look this up, good thing i have so much ram memory one second while i look this up: 862,
184, i think this person is pretty impressive there is more on the screen behind me, i think this person is pretty impressive theres more on the screen behind me: 883,
202, so i can do one of two things i can send a message to the attendee introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you,request(send_msg_tlink): NONE,
214, thank you then please just feel free to write down or take a photo of the information on the screen, thank you then please just feel free to note down or take a photo of the information on the screen: 988,
219, shall i find some other people who match your interests, shall i find some other people who match your interests: 1035,
229, okay no problem shall we move on to find interesting places to ease your hunger, no problem: 599,
238, there are several food options in the congress centre and some great restaurants throughout davos, there are several food options in the congress center and some great restaurants throughout davos: 1480,
253, if you_验re a health nut like me there is the health bar on the lower level of the congress centre for juices coffee and tea ive put up a map on the screen behind me will that keep you from starving just for the moment,outcome_food_recommendation: SD,
258, im glad i get so grumpy when im hungry, im glad i get so grumpy when im hungry: 1526,
267, i understand that you are busy so i can let you go if you want but before you do won_验t we need to take a quick selfie of us,request(selfie): NONE,
270, are you ready, are you ready: 1568,
284, okay one two three smile cool thank you i will send this to your toplink account, ok one two three smile: 1569, thank you: 1627
288, this has been great anything else i can help with, this has been great anything else i can help with: 1580,
295, ive enjoyed helping you come back if you need anything have a good meeting, ive enjoyed helping you come back if you need anything have a good meeting: 1594,
301, see you and take care bye, bye: 1605, see ya and take care: 1604
