5, hi im so glad youre here i am sara whats your name, hi im so glad youre here im sara whats your name: 2,,
12, im very excited to speak with the davos participants how are you, im very excited to speak with the davos participants how are you: 11,,
21, so im here in davos to be your personal assistant and help you to get the most out of the wef experience, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,,
25, so is this your first time at davos or have you been before, so is this your first time at davos or have you been before: 43,,
39, wow you must be a global rock star to be invited so many times if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, wow you must be a global rockstar to be invited so many times: 72, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,
67, you clearly have a solid sense of how to maximize your time here so you know about my job can you tell me a little bit about your work, you clearly have a solid sense of how to maximize your time here: 122, so you know about my job can you tell me a little bit about your work: 162,
81, so interesting lets find some interesting sessions for you to attend that are relevant to your interests, so interesting: 167, lets find some interesting sessions for you to attend that are relevant to your interests: 239,
91, wait just a second while i look one up my search capabilities are little slow does this look like a session you would like to attend, wait just a second while i look one up my search capabilities are a little slow: 257, does this look like a session youd like to attend: 690,
128, im sorry my recommendation metrics are not perfect yet let me try again just a moment please is that helpful at all for you, im sorry my recommendation metrics are not perfect yet: 377, just a moment please: 1615, was that helpful at all for you: 821
147, im so glad in fact i can send a message to the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, im so glad: 305,request(send_msg_tlink): NONE,
159, all right im sending it right now so you can access in your toplink shall we me move on to finding some people for you to meet who are as interesting as you, alright im sending it right now so you can access it in toplink: 344, shall we move on to finding some people for you to meet who are as interesting as you: 235,
181, dont go anywhere just yet let me have a look just a moment please i think youd enjoy meeting this attendee on the screen are some more details, dont go anywhere just yet let me have a look: 859, i think you would enjoy meeting this attendee on the screen are some more details: 879,
187, well what do you think, well what do you think: 901,,
202, im so glad so the details are on the screen behind me would you like to send the message yourself or would you prefer i arrange the meeting on your behalf, im so glad: 305,request(send_msg_tlink): NONE,
213, okay you can expect the message from me in your toplink private message inbox introducing the two of you sounds good, sounds good: 1297,send_msg(): NONE,
216, should i look for more people for you to talk to,request(another_reco): SD,,
229, okay no problem okay this person might be able to keep up with you, no problem: 599, okay this person might be able to keep up with you : 1152,
235, i had a feeling about this person, i had a feeling about this person: 1175,,
245, so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191,,
249, okay i sent them a message, ok ive sent them a message: 1208,,
254, shall we move on to finding interesting places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,,
277, there are several food options in the congress centre and some great restaurants throughout davos if you_„Žre a health nut like me there_„Žs the health bar on the lower level of the congress centre for juices coffee and tea ive put up the map on the screen behind me will that keep you from starving just for the moment, there are several food options in the congress center and some great restaurants throughout davos: 1480,outcome_food_recommendation: SD,
293, im glad its important to keep your strength inaudiblei understand you are busy so i can let you go if you want but before you do won_„Žt we need to take a quick selfie of us, im glad its important to keep your strength up: 1525,request(selfie): NONE,
296, are you ready, are you ready: 1568,,
309, okay one two three smile cool thank you i will send this to your toplink account, ok one two three smile: 1569, cool thank you i will send this to your toplink account: 1570,
315, all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,,
324, well feel free to come back in the meantime enjoy the meeting and it was nice working with, well feel free to come back in the meantime enjoy the meeting and it was nice working with you: 1592,,
