5, hi im sara its such a pleasure to meet you might i ask your name, hi im sara its such a pleasure to meet you might i ask your name: 10,,,
13, nice of you to take the time to stop by so how are things, so how are things: 13, nice of you to take the time to stop by: 15,,
39, how fascinating well im here in davos to be a personal assistant to leaders like you so that the annual meeting is a fulfilling experience its my first time here what about you, its my first time here what about you: 45, how fascinating: 177, well im here in davos to be a personal assistant to leaders like you so that the annual meeting is a fulfilling experience: 30,
48, oh you_„Žre more experienced than i am maybe you should be the one helping people, oh youre more experienced than i am maybe you should be the one helping people: 66,,,
55, if we might discuss your goals i can try to help you accomplish them here at wef this year, if we might discuss your goals i can try to help you accomplish them here at wef this year: 99,,,
60, why are you here what are your goals in attending davos this year, why are you here what are your goals in attending davos this year: 102,,,
109, wonderful you clearly have a solid sense of how to maximize your time here so you know about my job can you tell me a little bit about your work, you clearly have a solid sense of how to maximize your time here: 122, wonderful: 123, so you know about my job can you tell me a little bit about your work: 162,
155, thats such important work shall we move on to finding you some interesting sessions to attend, thats such important work: 176, shall we move on to finding you some interesting sessions to attend: 237,,
177, just a minute while i dig in to find something you may find this session interesting i have put the description of the session on the screen behind me i hope this one matches your interests what do you think, just a minute while i dig in to find something: 260, i hope this one matches your interests what do you think: 290, you may find this session interesting: 672,No match: SD
184, well thank you thats really kind of you, well thank you thats really kind of you: 307,,,
199, in fact i can send you a message through the toplink private message app to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder,request(send_msg_tlink): NONE,,,
209, yes, yes: 1612,,,
219, i understand you are busy so i can let you go if you want but before you do want be to take a quick selfie of us,request(selfie):  NONE,,,
224, selfie,request(selfie):  NONE,,,
237, great are you ready okay one two three smile, great: 917, are you ready: 1568, ok one two three smile: 1569,
251, this is so millennial of us thank you i will send this to your toplink account, this is so millenial of us thank you i will send this to your toplink account: 1571,,,
256, until next time i wish you could stay longer, until next time i wish you could stay longer: 1574,,,
259, shabbat shalom,other(): NONE,,,
263, see you and take care bye, bye: 1605, see ya and take care: 1604,,
