User,SD,PR,HE,VSN,QESD
 I'm Rairu,1,0,0,0,0
 good I'm very fine excited to be here,1,0,0,0,0
 no I've been here twelve times,1,0,0,0,0
 yes I do,0,0,0,0,0
 pause filler I'm looking for something new and exciting which we don't know we're looking for something new which we take home,1,0,0,0,0
 about my work,0,0,0,0,0
 I'm a lawyer,1,0,0,0,0
 yeah,0,0,0,0,0
 okay,0,0,0,0,0
 okay that's great great,0,0,0,0,0
 okay so this on wednesdays (inaudible) English is a little (inaudible),0,0,0,0,0
 yes I think it's really helpful yes I would that's great,0,1,0,0,0
 yes you could do that otherwise I will remember it I have a good memory,1,0,0,0,0
 okay,0,0,0,0,0
 that would be great yes,0,0,0,0,0
 yes,0,0,0,0,0
 (inaudible) artificial brain that's just now at four-fifteen (inaudible) [yeah that's really exciting],0,1,0,0,0
 that's exciting but I have to rush when it's already four-fifteen,0,0,1,0,0
 yes how did you know I was hungry,0,0,0,0,1
 yes,0,0,0,0,0
 uh-huh,0,0,0,0,0
 yeah you know I know about all this,1,0,0,0,0
 yeah yeah I know about all this [thank you,1,0,0,0,0
 yes thank you,0,0,0,0,0
 okay yes why not,0,0,1,0,0
 okay great,0,0,0,0,0
 no I don't know how this would help me I would like to meet some people from my profession which is law,1,0,0,0,0
 yes please,0,0,0,0,0
 oh yeah that looks good,0,1,0,0,0
 okay yeah yes that looks good so you can you send me a message (inaudible) maybe like to meet him okay,0,1,0,0,0
 I'll do it myself just send me this message please,0,0,0,0,0
 thank you,0,0,0,0,0
 thank you so much thanks,0,0,0,0,0
 [bye] bye,0,0,0,0,0
