USER,SD,PR,HE,VSN,QESD
 yeah yes thank you thank you,0,0,0,0,0
 my name is Peter Beshar,1,0,0,0,0
 I'm having just a spectacular time I so enjoy the ability to come here and learn about something like this that I don't know anything about,1,0,0,0,0
 I've been a number of times before so this is probably fifth or sixth time,1,0,1,0,0
 that's very courteous of you,0,0,0,0,0
 great so I always like to meet other people learn about concepts that I don't fully understand currently like this idea of a digital human is there an application of that for I'm the general counsel of a big company can we use that at our company,1,0,0,0,0
blank,0,0,0,0,0
 thank you for asking that's very courteous so I'm the general counsel of a large company called Marsh &amp; McLennan so I'm the chief lawyer in effect so trying to maintain the right culture and ethical environment and also trying to help the business grow and I'm trying to think through whether there's some application of this for what we try to do within the company,1,1,0,0,0
 great and what if I say,0,0,0,0,0
 that's very nice of you to offer that but I'm not interested in doing that I wanna try to understand what are the best applications for what it is that I'm trying to use do you have the ability to change gears now and not go to the bio introductions,1,0,1,0,0
 interesting so let's go to the biographies to get an idea of who are some of the people that I might get to meet who would be interesting,0,0,0,0,0
 great I actually met Eric for breakfast this morning he came to a cyber briefing that a number of us led including with the director of Europol so you clearly link the lawyer I'm a general counsel this gentleman is a lawyer how about non-lawyers somebody who's a business leader,1,0,0,0,0
 that's a wonderful idea Total SP is a,1,1,0,0,0
 is a client,0,0,0,0,0
 a very good match thank you for that SARA my wife happens to be named SARA so I have a natural affinity to you,1,1,0,0,0
 with great pleasure that would be wonderful if you did very a nice gesture,0,1,0,0,0
 great many thanks,0,0,0,0,0
 no I think that's fine I have a feel for how you work SARA and how wonderful it is thank you,0,0,0,0,0
 please that would be wonderful,0,0,0,0,0
 I'll sit up properly for the selfie yes,0,0,0,0,0
 great,0,0,0,0,0
 many thanks,0,0,0,0,0
 great,0,0,0,0,0
 no SARA that was wonderful thank you very much,0,1,0,0,0
 great,0,0,0,0,0
