Transcript ID,SD,PR,HE,VSN,QESD,NONE
509907,6,1,2,0,2,26
509921,6,4,3,0,0,19
509969,8,2,2,0,1,12
509997,6,1,2,0,0,17
510196,3,1,1,0,0,15
510275,5,0,3,2,0,14
510401,6,0,0,0,0,10
510410,3,0,1,0,0,10
510422,6,0,0,0,1,15
510457,6,0,0,0,0,20
510500,8,0,0,0,0,31
510688,4,0,0,0,0,18
510734,6,3,0,0,0,8
510849,4,0,2,0,0,14
510881,4,1,1,0,0,34
510910,8,0,0,0,0,13
510918,5,2,1,0,0,16
510999,9,5,2,0,0,8
511250,4,0,1,0,0,9
511447,6,3,1,0,0,8
511512,3,0,1,0,0,24
511665,5,1,2,0,2,12
511862,4,0,0,0,1,18
512508,4,1,6,0,1,24
513033,5,0,1,0,2,16
513058,4,0,1,0,0,10
513210,5,6,4,0,0,15
513324,6,0,1,0,0,18
513762,5,2,1,0,0,28
513935,10,1,3,0,0,22
513969,4,1,1,0,0,13
514007,5,0,1,0,1,31
514232,3,4,3,2,1,10
514819,3,0,0,0,0,17
514928,10,0,4,0,0,13
515151,6,1,0,0,0,23
515233,9,0,2,0,1,17
515289,3,0,0,0,0,8
515762,5,0,0,0,5,18
515843,5,12,2,0,0,18
516135,9,3,0,0,0,14
516417,6,2,1,0,0,24
516517,5,0,0,0,0,27
1001335,7,0,0,3,0,10
1001444,2,0,1,0,0,23
1001636,6,1,0,0,0,13
1001877,5,1,0,0,0,20
1001918,7,4,0,0,0,20
1002013,8,4,1,0,0,6
1002242,5,0,2,0,0,28
1002281,3,1,3,1,0,15
1002422,6,1,1,0,0,17
1002648,3,4,1,0,2,19
1002655,5,0,6,0,0,11
1003016,6,0,1,0,0,21
1003158,6,0,0,0,0,22
2001299,9,4,2,0,1,18
2001521,5,1,0,0,0,20
2001541,4,0,1,0,0,22
2004828,7,2,1,0,0,13
2005036,5,0,7,0,4,17
2005133,5,0,1,0,0,28
2008165,4,0,0,0,0,12
2016938,9,2,2,0,0,9
